id,created_at,geo,place,retweet_count,text,user_screen_name,user_time_zone,user_followers_count,user_friends_count,user_favourites_count,user_statuses_count,lang,misc
727931914317860866,Wed May 04 18:44:27 +0000 2016,None,None,1,No. Next question? https://t.co/4mxNbl3X5e,foootsoldier,None,443,258,9321,9977,en,
727895106557231105,Wed May 04 16:18:11 +0000 2016,None,None,0,"Correct that's because, Mr #Blair you never got a single big #EU decision right when #PM
#BRexit https://t.co/Tv6U5bH3Dl",Lee_Green_KMI,Prague,437,888,31,2889,en,
727936257465176066,Wed May 04 19:01:42 +0000 2016,None,None,0,Safer In #EU? No! No! No! Terrorists want the UK to STAY https://t.co/qLfOz27XhN Remember 7/7 Paris #Brussels #EUreferendum #remain #brexit,DAILYSQUIB,London,117231,2787,150,17403,en,
728308448161566720,Thu May 05 19:40:40 +0000 2016,None,None,1,"@snapdragon_paul @NicolettaEvents @business interesting read, would be interesting to see long term predictions on the pound #EUref #Brexit",Alexandria_oko,Pacific Time (US & Canada),63,112,136,194,en,
728227179771858945,Thu May 05 14:17:44 +0000 2016,None,None,0,@harmy3000 @ChrisGiles_ i think FT has been far fairer to brexit than @TheEconomist which hasn't given liberal leave pos a hearing at all,jamieamartin1,London,1397,581,2923,11878,en,
728192274782359552,Thu May 05 11:59:02 +0000 2016,None,None,0,@StrongerIn @David_Cameron well he's been shown to be a liar too,Bladerunner954,London,108,345,304,1136,en,
727887263879860224,Wed May 04 15:47:01 +0000 2016,None,None,0,This. https://t.co/WRtzpWsxiT,TheRebelSaint,London,178,218,907,3243,en,
727930258222157824,Wed May 04 18:37:52 +0000 2016,None,None,0,Sadiq Khan's viewpoint on the EU Referendum #Euref #LondonMayor #StrongerIN https://t.co/Uuuv1DI46E,PollstationUK,London,2537,3473,4628,6184,en,
728485598927917056,Fri May 06 07:24:36 +0000 2016,None,None,0,London's Hong Kong dreams https://t.co/z9KJGejpdB via @POLITICOEurope,AlexSyshchikov,Brussels,47,84,14,910,en,
728553924865613826,Fri May 06 11:56:06 +0000 2016,None,None,1,What would Brexit mean for marketers? https://t.co/6eJhD1sbe2,Paoletta_P,London,155,172,23,1576,en,
728469436911345664,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,
728574891281145856,Fri May 06 13:19:25 +0000 2016,None,None,0,EU referendum: Donald Trump backs Brexit (virtually guaranteeing that it will fail) | BBC https://t.co/H1DpSCGom2,AirForceChico,Paris,68,209,318,3792,en,
728548667720912896,Fri May 06 11:35:12 +0000 2016,None,None,0,New blogpost: why politicians on both sides are confusing the public in the Brexit debate https://t.co/FRiDd97csF #mediatraining,tommaddocks1,London,1194,1074,19,2528,en,
728578395274088448,Fri May 06 13:33:20 +0000 2016,None,None,4,Another report confirms #Brexit would cause massive uncertainty for working people https://t.co/qv4Ik5xKUQ https://t.co/cc0pgc8PZO,The_TUC,London,18837,1230,375,8350,en,
728348243843780608,Thu May 05 22:18:48 +0000 2016,None,None,0,"We're going to be swamped by Turks and other foreigners, seems to be the extent of the brexit argument.#bbcqt",getmeabiscuit,Pacific Time (US & Canada),1906,1817,1222,5602,en,
728348977402417156,Thu May 05 22:21:42 +0000 2016,None,None,7,"#Lexit not #brexit! Public event with great speakers incl MP Graham Stringer &amp; more. 4pm, 11th June @PHMMcr. #bbcqt https://t.co/gWsdq6b6kd",counterfireorg,London,8805,5001,799,27281,en,
728282977734696961,Thu May 05 17:59:27 +0000 2016,None,None,0,@WhiteWednesday @Guy_Stallard @JJLindsell @GeorgePeretzQC @StevePeers BREXIT managed to further split Unionists and Nationalists.,Mark_A_Mandel,London,1847,3237,1220,8049,en,
728171764816195584,Thu May 05 10:37:32 +0000 2016,None,None,2,@StrongerIn @StrongerInPress Last I heard it was 1 man/woman 1 vote. So the boss has 1 &amp; all his workers have 1 each #VoteLeave save the UK,PeterGHandley,London,447,566,1382,3496,en,
728310697772355584,Thu May 05 19:49:36 +0000 2016,None,None,0,"good morning at the gym, persuaded an ""In"" that ""out"" was the best option, explaining TTIP usually does the trick #Brexit #winning",MrMikeDiskin,Casablanca,151,274,503,2286,en,
728204738492248064,Thu May 05 12:48:33 +0000 2016,None,None,3,Only a few hours until #OldSquareonBrexit #emplaw -expert panel discusses the impact of Brexit on key practice areas https://t.co/4naVCCoqC0,OldSqChambers,London,2590,384,209,717,en,
728556519038570496,Fri May 06 12:06:24 +0000 2016,None,None,0,If you still need a reason to vote to stay in... Donald Trump backs Brexit https://t.co/9byYiXnDoP,KerenDarmon,London,126,192,51,340,en,
728586970088275969,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,
728194083089420288,Thu May 05 12:06:13 +0000 2016,None,None,0,@nanette0803 @viking_tiger @certual @LeaveEUOfficial what about every other country they have visa free agreements with? Worried about them?,kingbee89,London,151,406,764,9701,en,
728535537171181570,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,
728285850677743616,Thu May 05 18:10:52 +0000 2016,None,None,0,voting brexit because of zero public transport etiquette by specific groups.petty but I wouldn't put a price on peace &amp; quiet.,azeengubeni,Casablanca,620,695,1630,767,en,
728131437283540992,Thu May 05 07:57:17 +0000 2016,None,None,0,"Tweets like this may have more impact than facts, business leaders or security experts. #StrongerIn  https://t.co/5iQttbgR2X",GreggSvingen,Brussels,1665,1575,4983,9285,en,
728136350369599488,Thu May 05 08:16:48 +0000 2016,None,None,0,Atlas Crumbles Under Weight of Italian Banks https://t.co/OgZHRKuTze via @MishGEA #EUref #VoteLeave #Brexit,DeonLongFLUS,Alaska,810,2527,1939,4823,en,
728533591265808384,Fri May 06 10:35:18 +0000 2016,None,None,0,Brexit recycles the defiant spirit of the Reformation | Loose canon https://t.co/R6onWA7WcV,JcEvan6el,None,904,748,2785,4567,en,
728213904191574016,Thu May 05 13:24:58 +0000 2016,None,None,1,@SuzanneEvans1 @DavidSeadon long read but makes absolute sense. Hopefully people will take the time to read. #Brexit,athen3579,None,234,330,11412,15889,en,
